experiment,population,horizon_min,split,kind,units,n_samples,n_days,metric,value,ci95_low,ci95_high
E4,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,bias,0.036568,,
E4,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,correlation,0.914451,,
E4,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117037,171,MAE,0.084742,0.0717,0.1007
E4,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117037,171,RMSE,0.15256,,
E4,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117037,171,bias,0.032345,,
E4,native,5,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117037,171,correlation,0.895602,,
E4,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116824,171,MAE,0.103888,0.091,0.1201
E4,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116824,171,RMSE,0.180781,,
E4,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116824,171,bias,0.019783,,
E4,native,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116824,171,correlation,0.844678,,
E4,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116507,171,MAE,0.120203,0.1066,0.1367
E4,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116507,171,RMSE,0.202244,,
E4,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116507,171,bias,0.011316,,
E4,native,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",116507,171,correlation,0.79973,,
E4,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",115967,171,MAE,0.135952,0.1225,0.1529
E4,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",115967,171,RMSE,0.219988,,
E4,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",115967,171,bias,0.002493,,
E4,native,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",115967,171,correlation,0.759375,,
reference: climatology (training mean),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,MAE,0.500328,0.4718,0.5307
reference: climatology (training mean),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,RMSE,0.556744,,
reference: climatology (training mean),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,bias,0.446992,,
reference: climatology (training mean),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,correlation,,,
reference: SoLEXS flux now (calibrated on training),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,MAE,0.054244,0.0518,0.0571
reference: SoLEXS flux now (calibrated on training),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,RMSE,0.069415,,
reference: SoLEXS flux now (calibrated on training),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,bias,-0.011454,,
reference: SoLEXS flux now (calibrated on training),common,0,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104186,162,correlation,0.979987,,
reference: climatology (training mean),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,MAE,0.500341,0.4718,0.5307
reference: climatology (training mean),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,RMSE,0.556776,,
reference: climatology (training mean),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,bias,0.446985,,
reference: climatology (training mean),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,correlation,,,
reference: SoLEXS flux now (calibrated on training),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,MAE,0.054012,0.0515,0.0568
reference: SoLEXS flux now (calibrated on training),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,RMSE,0.069201,,
reference: SoLEXS flux now (calibrated on training),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,bias,-0.011435,,
reference: SoLEXS flux now (calibrated on training),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,correlation,0.980114,,
reference: GOES flux now (persistence),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,MAE,0.007877,0.0073,0.0085
reference: GOES flux now (persistence),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,RMSE,0.021651,,
reference: GOES flux now (persistence),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,bias,2.1e-05,,
reference: GOES flux now (persistence),common,1,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104143,162,correlation,0.997873,,
reference: climatology (training mean),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,MAE,0.500217,0.4717,0.5306
reference: climatology (training mean),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,RMSE,0.55664,,
reference: climatology (training mean),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,bias,0.446865,,
reference: climatology (training mean),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,correlation,,,
reference: SoLEXS flux now (calibrated on training),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,MAE,0.067621,0.0651,0.0702
reference: SoLEXS flux now (calibrated on training),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,RMSE,0.097333,,
reference: SoLEXS flux now (calibrated on training),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,bias,-0.011408,,
reference: SoLEXS flux now (calibrated on training),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,correlation,0.959555,,
reference: GOES flux now (persistence),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,MAE,0.03162,0.0294,0.0341
reference: GOES flux now (persistence),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,RMSE,0.073107,,
reference: GOES flux now (persistence),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,bias,6.2e-05,,
reference: GOES flux now (persistence),common,5,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",104047,162,correlation,0.975743,,
reference: climatology (training mean),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,MAE,0.499932,0.4715,0.5304
reference: climatology (training mean),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,RMSE,0.556309,,
reference: climatology (training mean),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,bias,0.446629,,
reference: climatology (training mean),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,correlation,,,
reference: SoLEXS flux now (calibrated on training),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,MAE,0.096016,0.0915,0.0999
reference: SoLEXS flux now (calibrated on training),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,RMSE,0.150579,,
reference: SoLEXS flux now (calibrated on training),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,bias,-0.011368,,
reference: SoLEXS flux now (calibrated on training),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,correlation,0.901577,,
reference: GOES flux now (persistence),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,MAE,0.065964,0.0608,0.0709
reference: GOES flux now (persistence),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,RMSE,0.132664,,
reference: GOES flux now (persistence),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,bias,0.000142,,
reference: GOES flux now (persistence),common,15,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,correlation,0.920061,,
reference: climatology (training mean),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,MAE,0.499589,0.471,0.5301
reference: climatology (training mean),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,RMSE,0.555912,,
reference: climatology (training mean),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,bias,0.446321,,
reference: climatology (training mean),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,correlation,,,
reference: SoLEXS flux now (calibrated on training),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,MAE,0.12072,0.1139,0.1271
reference: SoLEXS flux now (calibrated on training),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,RMSE,0.190322,,
reference: SoLEXS flux now (calibrated on training),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,bias,-0.011347,,
reference: SoLEXS flux now (calibrated on training),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,correlation,0.841943,,
reference: GOES flux now (persistence),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,MAE,0.093173,0.0852,0.1009
reference: GOES flux now (persistence),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,RMSE,0.173771,,
reference: GOES flux now (persistence),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,bias,0.000218,,
reference: GOES flux now (persistence),common,30,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,correlation,0.862707,,
reference: climatology (training mean),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,MAE,0.498986,0.4703,0.5297
reference: climatology (training mean),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,RMSE,0.555225,,
reference: climatology (training mean),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,bias,0.445848,,
reference: climatology (training mean),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,correlation,,,
reference: SoLEXS flux now (calibrated on training),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,MAE,0.1449,0.1364,0.1532
reference: SoLEXS flux now (calibrated on training),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,RMSE,0.225124,,
reference: SoLEXS flux now (calibrated on training),common,60,test,reference,"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,bias,-0.011375,,
