experiment,population,horizon_min,split,interval,nominal_coverage,n_samples,metric,value,ci95_low,ci95_high
E4,native,30,test,q10-q90,0.8,116507,coverage_scaled,0.82377,,
E4,native,30,test,q10-q90,0.8,116507,width_scaled_dex,0.386645,,
E4,native,30,test,q10-q90,0.8,116507,pinball_q10,0.038503,,
E4,native,30,test,q10-q90,0.8,116507,pinball_q50,0.060102,,
E4,native,30,test,q10-q90,0.8,116507,pinball_q90,0.034357,,
E4,native,60,test,q10-q90,0.8,115967,coverage_raw,0.731217,,
E4,native,60,test,q10-q90,0.8,115967,width_raw_dex,0.340349,,
E4,native,60,test,q10-q90,0.8,115967,scale_from_validation,1.331222,,
E4,native,60,test,q10-q90,0.8,115967,coverage_scaled,0.820389,,
E4,native,60,test,q10-q90,0.8,115967,width_scaled_dex,0.45308,,
E4,native,60,test,q10-q90,0.8,115967,pinball_q10,0.040417,,
E4,native,60,test,q10-q90,0.8,115967,pinball_q50,0.067976,,
E4,native,60,test,q10-q90,0.8,115967,pinball_q90,0.04007,,
